URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.com/fhir/example/CodeSystem/dosage-type-cs,1.0.0,active,,DosageTypeCS,Dosage Type CodeSystem,"Defines the semantic type of dosage instructions or constraints.","ValueSet/dosage-type-vs"
http://example.com/fhir/example/CodeSystem/forma-farmaceutica-cs,1.0.0,active,,FormaFarmaceuticaCS,Forma Farmacêutica,"CodeSystem para formas farmacêuticas baseado na tabela fornecida","ValueSet/forma-farmaceutica-vs"
http://example.com/fhir/example/CodeSystem/tipo-preco-infarmed-cs,1.0.0,active,,TipoPrecoINFARMEDCS,Tipo de Preço INFARMED,"CodeSystem para os tipos de preço de medicamentos, baseado na tabela fornecida, incluindo apenas os códigos ativos.","ValueSet/tipo-preco-infarmed-vs"
http://example.com/fhir/example/CodeSystem/via-administracao-cs,1.0.0,active,,ViaAdministracaoCS,Via de Administração,"CodeSystem para vias de administração baseado na tabela fornecida","ValueSet/via-administracao-vs"
http://hl7.org/fhir/CodeSystem/medication-ingredientstrength,5.0.0,active,"2.16.840.1.113883.4.642.4.2062",MedicationIngredientStrengthCodes,Medication Ingredient Strength Codes,"Medication Ingredient Strength Codes","ValueSet/medication-ingredientstrength"
http://hl7.org/fhir/CodeSystem/medicationknowledge-status,5.0.0,active,"2.16.840.1.113883.4.642.4.2067",MedicationKnowledgeStatusCodes,MedicationKnowledge Status Codes,"MedicationKnowledge Status Codes","ValueSet/medicationknowledge-status"
http://hl7.org/fhir/clinical-use-definition-category,5.0.0,active,"2.16.840.1.113883.4.642.4.1993",ClinicalUseDefinitionCategory,Clinical Use Definition Category,"ClinicalUseDefinitionCategory","ValueSet/clinical-use-definition-category"
http://hl7.org/fhir/clinical-use-definition-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1990",ClinicalUseDefinitionType,Clinical Use Definition Type,"Overall defining type of this clinical use definition.","ValueSet/clinical-use-definition-type"
http://hl7.org/fhir/interaction-incidence,5.0.0,active,"2.16.840.1.113883.4.642.4.1991",InteractionIncidence,Interaction Incidence,"A categorisation for a frequency of occurence of an undesirable effect.","ValueSet/interaction-incidence"
http://hl7.org/fhir/interaction-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1992",InteractionType,Interaction Type,"A categorisation for an interaction between two substances.","ValueSet/interaction-type"
http://hl7.org/fhir/medication-cost-category,5.0.0,active,"2.16.840.1.113883.4.642.4.2068",MedicationCostCategoryCodes,Medication Cost Category Codes,"Medication Cost Category Codes","ValueSet/medication-cost-category"
http://hl7.org/fhir/product-intended-use,5.0.0,active,"2.16.840.1.113883.4.642.4.1908",ProductIntendedUse,Product Intended Use,"ProductIntendedUse","ValueSet/product-intended-use"
http://hl7.org/fhir/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/therapy-relationship-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1994",TherapyRelationshipType,Therapy Relationship Type,"Classification of relationship between a therapy and a contraindication or an indication.","ValueSet/therapy-relationship-type"
http://hl7.org/fhir/undesirable-effect-frequency,5.0.0,active,"2.16.840.1.113883.4.642.4.1995",UndesirablEffectFrequency,Undesirabl Effect Frequency,"A categorisation for a frequency of occurence of an undesirable effect.","ValueSet/undesirable-effect-frequency"
http://hl7.org/fhir/warning-type,5.0.0,active,"2.16.840.1.113883.4.642.4.1996",WarningType,Warning Type,"Classification of warning type.","ValueSet/warning-type"
http://terminology.hl7.org/CodeSystem/dose-rate-type,2.0.0,active,"2.16.840.1.113883.4.642.1.1069",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","ValueSet/dose-rate-type"
http://terminology.hl7.org/CodeSystem/medicationknowledge-characteristic,1.0.1,active,"2.16.840.1.113883.4.642.1.1338",MedicationKnowledgeCharacteristicCodes,MedicationKnowledge Characteristic Codes,"MedicationKnowledge Characteristic Codes","ValueSet/medicationknowledge-characteristic"
http://terminology.hl7.org/CodeSystem/v3-RoleClass,5.0.0,active,"2.16.840.1.113883.5.110",RoleClass,RoleClass,"Codes for the Role class hierarchy. The values in this hierarchy, represent a Role which is an association or relationship between two entities - the entity that plays the role and the entity that scopes the role. Roles names are derived from the name of the playing entity in that role.    The role hierarchy stems from three core concepts, or abstract domains:     *  **RoleClassOntological** is an abstract domain that collects roles in which the playing entity is defined or specified by the scoping entity.   *  **RoleClassPartitive** collects roles in which the playing entity is in some sense a ""part"" of the scoping entity.   *  **RoleClassAssociative** collects all of the remaining forms of association between the playing entity and the scoping entity. This set of roles is further partitioned between:             *  **RoleClassPassive** which are roles in which the playing entity is used, known, treated, handled, built, or destroyed, etc. under the auspices of the scoping entity. The playing entity is passive in these roles in that the role exists without an agreement from the playing entity.       *  **RoleClassMutualRelationship** which are relationships based on mutual behavior of the two entities. The basis of these relationship may be formal agreements or they may be *de facto* behavior. Thus, this sub-domain is further divided into:                     *  **RoleClassRelationshipFormal** in which the relationship is formally defined, frequently by a contract or agreement.           *  **Personal relationship** which inks two people in a personal relationship.    The hierarchy discussed above is represented In the current vocabulary tables as a set of abstract domains, with the exception of the ""Personal relationship"" which is a leaf concept.    *OpenIssue:* Description copied from Concept Domain of same name. Must be verified.","ValueSet/v3-RoleClassIngredientEntity"
