Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-my-ig.json	11519	-	0	0	0	0	0	0	10	82	0	0	0	0	0	0	0	0	0	0	68	65	0	0	0	2	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-contra1.json	503	6	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	10	0	0	1	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-contra2.json	927	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-contra3.json	494	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-ind1.json	455	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-ind2.json	463	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-ind3.json	473	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-ind4.json	469	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-ind5.json	465	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-int1.json	899	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	1
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-int2.json	893	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-CipraplexGotas-CUD-int3.json	994	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LorazepamBluepharma05mg-CUD.json	554	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LorazepamBluepharma05mg-CUD1.json	564	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/ClinicalUseDefinition-LorazepamBluepharma05mg-CUD2.json	773	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dosage-type-cs.json	1114	2	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	10	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-forma-farmaceutica-cs.json	63568	109	0	0	1	0	0	0	11	65	0	0	1	0	0	0	0	1	0	0	262	477	0	0	0	14	0	0
fsh-generated/resources/CodeSystem-tipo-preco-infarmed-cs.json	1778	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-via-administracao-cs.json	10679	5	0	0	0	0	0	0	2	10	0	0	0	0	0	0	0	1	0	0	41	51	0	0	0	2	0	1
fsh-generated/resources/MedicationKnowledge-Cipralex-20-mgml-Gotas-orais-solucao.json	25563	19	0	0	0	0	0	0	3	1305	0	0	0	0	0	0	0	0	0	0	68	24	0	0	0	0	0	0
fsh-generated/resources/MedicationKnowledge-LorazepamBluepharma05mg.json	15755	12	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	44	17	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ContraIndicacoesPDH.json	925	2	0	44	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	170	836	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-IndicacoesPDH.json	1048	2	0	38	0	0	0	0	0	37	0	0	1	0	0	0	0	1	0	0	197	293	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-InteracoesPDH.json	1495	2	0	38	0	0	0	0	0	239	0	0	0	0	0	0	0	1	0	0	222	242	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MedicationKnowledgePDH.json	9092	5	0	84	1	0	0	1	0	257	0	0	0	0	0	0	0	1	0	0	443	768	0	0	0	12	0	1
fsh-generated/resources/ValueSet-dosage-type-vs.json	426	1	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	4	106	0	0	0	0	0	0
